DIST_CODE,ASSESSMENT SUBJECT,DATA_CATEGORY_GROUP,DATA_CATEGORY,ECDS_REPORTED,BOTH_BOY_EOY_ASSESSED,MATCH_PROFICIENT_EOY,ECDS_REPORTED_suppress,BOTH_BOY_EOY_ASSESSED_suppress,MATCH_PROFICIENT_EOY_suppress,ECDS_REPORTED_noisy_pp,BOTH_BOY_EOY_ASSESSED_noisy_pp,MATCH_PROFICIENT_EOY_noisy_pp
014906,Reading,Race/Ethnicity,Black or African American,837,618,508,837,618,508,838,620,508
014906,Reading,Race/Ethnicity,Hispanic/Latino,921,682,567,921,682,567,921,682,568
014906,Reading,Race/Ethnicity,Other,346,263,233,346,263,233,346,263,232
014906,Reading,Race/Ethnicity,White,369,260,224,369,260,224,367,259,224
014906,Reading,Homeless,Homeless,50,19,19,50,19,19,49,19,18
014906,Reading,In Foster Care,In Foster Care,43,25,22,43,25,22,45,25,23
014906,Writing,Race/Ethnicity,Black or African American,837,624,550,837,624,550,838,624,550
014906,Writing,Race/Ethnicity,Hispanic/Latino,921,681,631,921,681,631,921,681,630
014906,Writing,Race/Ethnicity,Other,346,265,244,346,265,244,346,266,244
014906,Writing,Race/Ethnicity,White,369,259,242,369,259,242,367,258,242
014906,Writing,Homeless,Homeless,50,21,21,50,21,21,49,22,22
014906,Writing,In Foster Care,In Foster Care,43,25,19,43,25,19,45,26,20
014906,Health,Race/Ethnicity,Black or African American,837,621,535,837,621,535,838,623,537
014906,Health,Race/Ethnicity,Hispanic/Latino,921,680,605,921,680,605,921,680,605
014906,Health,Race/Ethnicity,Other,346,265,237,346,265,237,346,265,236
014906,Health,Race/Ethnicity,White,369,259,229,369,259,229,367,257,228
014906,Health,Homeless,Homeless,50,21,21,50,21,21,49,20,20
014906,Health,In Foster Care,In Foster Care,43,25,21,43,25,21,45,26,21
014906,Mathematics,Race/Ethnicity,Black or African American,837,618,557,837,618,557,838,619,555
014906,Mathematics,Race/Ethnicity,Hispanic/Latino,921,682,625,921,682,625,921,683,625
014906,Mathematics,Race/Ethnicity,Other,346,263,249,346,263,249,346,263,247
014906,Mathematics,Race/Ethnicity,White,369,260,248,369,260,248,367,258,247
014906,Mathematics,Homeless,Homeless,50,20,20,50,20,20,49,20,20
014906,Mathematics,In Foster Care,In Foster Care,43,25,24,43,25,24,45,27,24
015822,Reading,Race/Ethnicity,Black or African American,9,9,9,NA,NA,NA,8,8,8
015822,Reading,Race/Ethnicity,Hispanic/Latino,351,270,244,351,270,244,352,269,244
015822,Reading,Race/Ethnicity,Other,16,7,7,16,NA,NA,15,7,6
015822,Reading,Race/Ethnicity,White,11,6,6,NA,NA,NA,12,7,7
015822,Reading,Homeless,Homeless,11,6,6,11,NA,NA,13,6,4
015822,Reading,In Foster Care,In Foster Care,5,3,2,NA,NA,NA,5,4,2
015822,Writing,Race/Ethnicity,Black or African American,9,9,8,NA,NA,NA,8,9,6
015822,Writing,Race/Ethnicity,Hispanic/Latino,351,271,262,351,271,262,352,272,262
015822,Writing,Race/Ethnicity,Other,16,8,8,16,NA,NA,15,7,6
015822,Writing,Race/Ethnicity,White,11,6,6,NA,NA,NA,12,7,5
015822,Writing,Homeless,Homeless,11,6,6,11,NA,NA,13,5,5
015822,Writing,In Foster Care,In Foster Care,5,3,3,NA,NA,NA,5,2,2
015822,Health,Race/Ethnicity,Black or African American,9,9,8,NA,NA,NA,8,8,6
015822,Health,Race/Ethnicity,Hispanic/Latino,351,271,262,351,271,262,352,271,263
015822,Health,Race/Ethnicity,Other,16,12,8,16,12,NA,15,13,9
015822,Health,Race/Ethnicity,White,11,6,6,NA,NA,NA,12,6,5
015822,Health,Homeless,Homeless,11,6,6,11,NA,NA,13,5,5
015822,Health,In Foster Care,In Foster Care,5,3,2,NA,NA,NA,5,3,0
015822,Mathematics,Race/Ethnicity,Black or African American,9,9,8,NA,NA,NA,8,9,8
015822,Mathematics,Race/Ethnicity,Hispanic/Latino,351,268,253,351,268,253,352,269,254
015822,Mathematics,Race/Ethnicity,Other,16,7,7,16,NA,NA,15,6,6
015822,Mathematics,Race/Ethnicity,White,11,6,6,NA,NA,NA,12,5,4
015822,Mathematics,Homeless,Homeless,11,6,6,11,NA,NA,13,6,5
015822,Mathematics,In Foster Care,In Foster Care,5,3,2,NA,NA,NA,5,2,2
015828,Reading,Race/Ethnicity,Black or African American,45,36,24,45,36,24,44,34,23
015828,Reading,Race/Ethnicity,Hispanic/Latino,140,99,72,140,99,72,140,98,71
015828,Reading,Race/Ethnicity,Other,16,11,11,16,11,11,16,12,12
015828,Reading,Race/Ethnicity,White,24,21,15,24,21,15,25,21,14
015828,Reading,Homeless,Homeless,8,5,4,NA,NA,NA,8,7,6
015828,Reading,In Foster Care,In Foster Care,3,1,1,NA,NA,NA,5,1,1
015828,Writing,Race/Ethnicity,Black or African American,45,36,21,45,36,21,44,37,20
015828,Writing,Race/Ethnicity,Hispanic/Latino,140,100,91,140,100,91,140,102,92
015828,Writing,Race/Ethnicity,Other,16,11,11,16,11,11,16,10,10
015828,Writing,Race/Ethnicity,White,24,21,21,24,21,21,25,20,20
015828,Writing,Homeless,Homeless,8,5,4,NA,NA,NA,8,5,2
015828,Writing,In Foster Care,In Foster Care,3,1,1,NA,NA,NA,5,1,1
015828,Health,Race/Ethnicity,Black or African American,45,36,19,45,36,19,44,36,19
015828,Health,Race/Ethnicity,Hispanic/Latino,140,100,92,140,100,92,140,100,90
015828,Health,Race/Ethnicity,Other,16,11,11,16,11,11,16,9,9
015828,Health,Race/Ethnicity,White,24,21,21,24,21,21,25,21,20
015828,Health,Homeless,Homeless,8,5,5,NA,NA,NA,8,5,5
015828,Health,In Foster Care,In Foster Care,3,2,1,NA,NA,NA,5,3,0
015828,Mathematics,Race/Ethnicity,Black or African American,45,36,36,45,36,36,44,38,35
015828,Mathematics,Race/Ethnicity,Hispanic/Latino,140,100,92,140,100,92,140,99,91
015828,Mathematics,Race/Ethnicity,Other,16,11,11,16,11,11,16,10,9
015828,Mathematics,Race/Ethnicity,White,24,21,21,24,21,21,25,23,19
015828,Mathematics,Homeless,Homeless,8,5,5,NA,NA,NA,8,5,5
015828,Mathematics,In Foster Care,In Foster Care,3,1,1,NA,NA,NA,5,2,0
015907,Reading,Race/Ethnicity,Black or African American,189,134,105,189,134,105,187,134,106
015907,Reading,Race/Ethnicity,Hispanic/Latino,2421,1984,1510,2421,1984,1510,2419,1986,1510
015907,Reading,Race/Ethnicity,Other,46,37,32,46,37,32,44,38,33
015907,Reading,Race/Ethnicity,White,109,79,65,109,79,65,109,78,66
015907,Reading,Homeless,Homeless,267,195,136,267,195,136,265,196,135
015907,Reading,In Foster Care,In Foster Care,12,5,5,12,NA,NA,12,6,5
015907,Writing,Race/Ethnicity,Black or African American,189,134,112,189,134,112,187,134,111
015907,Writing,Race/Ethnicity,Hispanic/Latino,2421,1975,1664,2421,1975,1664,2419,1976,1663
015907,Writing,Race/Ethnicity,Other,46,37,32,46,37,32,44,37,32
015907,Writing,Race/Ethnicity,White,109,80,71,109,80,71,109,79,71
015907,Writing,Homeless,Homeless,267,196,157,267,196,157,265,196,160
015907,Writing,In Foster Care,In Foster Care,12,5,5,12,NA,NA,12,4,4
015907,Health,Race/Ethnicity,Black or African American,189,134,106,189,134,106,187,134,105
015907,Health,Race/Ethnicity,Hispanic/Latino,2421,1988,1767,2421,1988,1767,2419,1989,1765
015907,Health,Race/Ethnicity,Other,46,37,34,46,37,34,44,36,35
015907,Health,Race/Ethnicity,White,109,80,71,109,80,71,109,78,72
015907,Health,Homeless,Homeless,267,196,173,267,196,173,265,197,171
015907,Health,In Foster Care,In Foster Care,12,5,5,12,NA,NA,12,6,6
015907,Mathematics,Race/Ethnicity,Black or African American,189,134,115,189,134,115,187,136,114
015907,Mathematics,Race/Ethnicity,Hispanic/Latino,2421,1979,1729,2421,1979,1729,2419,1977,1729
015907,Mathematics,Race/Ethnicity,Other,46,37,34,46,37,34,44,37,34
015907,Mathematics,Race/Ethnicity,White,109,78,71,109,78,71,109,79,71
015907,Mathematics,Homeless,Homeless,267,195,170,267,195,170,265,196,168
015907,Mathematics,In Foster Care,In Foster Care,12,5,5,12,NA,NA,12,6,4
015910,Reading,Race/Ethnicity,Black or African American,164,107,85,164,107,85,165,108,85
